term,forms,tags
knead,"knead, kneaded, kneader, kneaders, kneading, kneads",9k
lager,"lager, lagers",9k
laity,"laity, laities",9k
landlady,"landlady, landladies",9k
languid,"languid, languidly, languidness",9k
languish,"languish, languished, languishes, languishing",9k
lapel,"lapel, lapels",9k
lapped,"lapped, lapping",9k
laurel,"laurel, laurels",9k
leach,"leach, leached, leaches, leaching",9k
leek,"leek, leeks",9k
leer,"leer, leered, leering, leers",9k
legible,"legible, illegibility, illegible, legibility, legibly",9k
lethargy,"lethargy, lethargic, lethargically",9k
lichen,"lichen, lichens",9k
lifeline,"lifeline, lifelines",9k
lilac,"lilac, lilacs",9k
limbo,limbo,9k
limelight,limelight,9k
ling,"ling, lings",9k
lipid,"lipid, lipids",9k
litany,"litany, litanies",9k
lithograph,"lithograph, lithographed, lithographic, lithographing, lithographs, lithography",9k
livery,"livery, liveried, liveries",9k
lob,"lob, lobbed, lobbing, lobs",9k
locale,"locale, locales",9k
loo,"loo, loos",9k
lore,"lore, lores",9k
louse,"louse, lice",9k
lubricate,"lubricate, lubricated, lubricates, lubricating, lubrication, lubrications",9k
lukewarm,"lukewarm, lukewarmly, lukewarmness",9k
lurid,"lurid, luridly, luridness",9k
lymph,"lymph, lymphs",9k
lymphocyte,"lymphocyte, lymphocytes, lymphocytic",9k
lymphoma,"lymphoma, lymphomas",9k
magnate,"magnate, magnates",9k
magnolia,"magnolia, magnolias",9k
maim,"maim, maimed, maiming, maims",9k
mainstay,"mainstay, mainstays",9k
malevolent,"malevolent, malevolence, malevolently",9k
malfunction,"malfunction, malfunctioned, malfunctioning, malfunctions",9k
malnutrition,malnutrition,9k
mane,"mane, manes",9k
mangle,"mangle, mangled, mangles, mangling",9k
mania,"mania, manias",9k
marina,"marina, marinas",9k
martini,"martini, martinis",9k
mascara,"mascara, mascaras",9k
masons,"masons, masonic",9k
matrimony,"matrimony, matrimonial",9k
maximal,"maximal, maximally",9k
mayhem,"mayhem, mayhems",9k
meaner,"meaner, meanest, meanly, meanness",9k
medallion,"medallion, medallions",9k
meddle,"meddle, meddled, meddler, meddlers, meddles, meddling, meddlings",9k
medley,"medley, medleys",9k
melodrama,"melodrama, melodramas",9k
memento,"memento, mementoes, mementos",9k
meningitis,meningitis,9k
mermaid,"mermaid, mermaids",9k
meteorological,meteorological,9k
microbiology,"microbiology, microbiological, microbiologies, microbiologist, microbiologists",9k
microcomputer,"microcomputer, microcomputers",9k
microorganism,"microorganism, microorganisms",9k
millet,"millet, millets",9k
mire,"mire, mired, mires, miring",9k
miscellaneous,"miscellaneous, miscellaneously",9k
mishap,"mishap, mishaps",9k
mitochondria,"mitochondria, mitochondrial, mitochondrion",9k
moat,"moat, moated, moats",9k
moderated,"moderated, moderating, moderator, moderators",9k
moi,moi,9k
molar,"molar, molars",9k
monde,monde,9k
monochrome,"monochrome, monochromes",9k
monogamy,"monogamy, monogamies, monogamist, monogamists, monogamous, monogamously",9k
monsieur,monsieur,9k
moose,moose,9k
mormon,"mormon, mormonism, mormons",9k
morphine,morphine,9k
mottle,"mottle, mottled, mottles, mottling",9k
mournful,"mournful, mournfully, mournfulness",9k
mousse,"mousse, mousses",9k
muffin,"muffin, muffins",9k
mulch,"mulch, mulched, mulches, mulching",9k
mull,"mull, mulled, mulling, mulls",9k
multidisciplinary,multidisciplinary,9k
multivariate,multivariate,9k
munition,"munition, munitions",9k
mush,"mush, mushier, mushiest, mushiness, mushy",9k
musket,"musket, musketeer, musketeers, muskets",9k
mystique,"mystique, mystiques",9k
nape,"nape, napes",9k
napkin,"napkin, napkins",9k
nebula,"nebula, nebulae, nebular, nebulas",9k
nectar,"nectar, nectars",9k
nettle,"nettle, nettles",9k
nimble,"nimble, nimbleness, nimbly",9k
nocturnal,"nocturnal, nocturnally",9k
nonchalant,"nonchalant, nonchalance, nonchalantly",9k
nook,"nook, nooks",9k
nordic,nordic,9k
notoriety,notoriety,9k
noxious,noxious,9k
nugget,"nugget, nuggets",9k
nutmeg,"nutmeg, nutmegs",9k
nutritious,"nutritious, nutritiously",9k
nutty,"nutty, nuttier, nuttiest, nuttiness",9k
oar,"oar, oars",9k
obnoxious,"obnoxious, obnoxiously, obnoxiousness",9k
obstinate,"obstinate, obstinacy, obstinately",9k
obtrusive,"obtrusive, obtrusively, obtrusiveness, unobtrusive, unobtrusively, unobtrusiveness",9k
occult,"occult, occultism, occultist, occultists",9k
octave,"octave, octaves",9k
octopus,"octopus, octopi, octopuses",9k
odyssey,"odyssey, odysseys",9k
ombudsman,"ombudsman, ombudsmen",9k
omelette,"omelette, omelet, omelets, omelettes",9k
omen,"omen, omens",9k
onerous,"onerous, onerously, onerousness",9k
opulent,"opulent, opulence, opulently",9k
ordnance,"ordnance, ordnances",9k
orgy,"orgy, orgiastic, orgies",9k
orthopaedic,orthopaedic,9k
ostentatious,"ostentatious, ostentation, ostentatiously",9k
osteoporosis,"osteoporosis, osteoporotic",9k
outcast,"outcast, outcasts",9k
outgrow,"outgrow, outgrew, outgrowing, outgrown, outgrows",9k
outlying,"outlying, outlier, outliers",9k
outstrip,"outstrip, outstripped, outstripping, outstrips",9k
ovation,"ovation, ovations",9k
overalls,overalls,9k
overdraft,"overdraft, overdrafts",9k
oxidant,"oxidant, antioxidant, antioxidants, oxidants",9k
pallet,"pallet, pallets",9k
panda,"panda, pandas",9k
paramedic,"paramedic, paramedical, paramedics",9k
parch,"parch, parched, parches, parching",9k
pare,"pare, pared, parer, parers, pares, paring",9k
parse,"parse, parsed, parser, parses, parsing",9k
partake,"partake, partaken, partaker, partakers, partakes, partaking, partook",9k
patchy,"patchy, patchier, patchiest, patchily, patchiness",9k
peacock,"peacock, peacocks",9k
penchant,"penchant, penchants",9k
penicillin,"penicillin, penicillins, penicillium",9k
peregrine,"peregrine, peregrines",9k
perestroika,perestroika,9k
perjury,"perjury, perjure, perjured, perjurer, perjurers, perjuries, perjuring",9k
perm,"perm, permed, perming, perms",9k
permissive,"permissive, permissively, permissiveness",9k
pernicious,"pernicious, perniciously, perniciousness",9k
perpendicular,"perpendicular, perpendicularly",9k
peruse,"peruse, perusal, perusals, perused, peruses, perusing",9k
peso,"peso, pesos",9k
pessimism,pessimism,9k
petite,petite,9k
petrify,"petrify, petrification, petrified, petrifies, petrifying",9k
pharaoh,"pharaoh, pharaohs, pharaonic",9k
phenomenology,"phenomenology, phenomenological, phenomenologies, phenomenologist, phenomenologists",9k
philharmonic,"philharmonic, philharmonia",9k
phobia,"phobia, phobias, phobic",9k
phonetic,"phonetic, phonetically, phonetician, phoneticians, phonetics",9k
phosphorus,"phosphorus, phosphoric",9k
photosynthesis,"photosynthesis, photosynthesise, photosynthesised, photosynthesises, photosynthesize, photosynthesized, photosynthesizes, photosynthesizing, photosynthetic",9k
physique,"physique, physiques",9k
piecemeal,piecemeal,9k
pimp,"pimp, pimped, pimping, pimps",9k
piper,"piper, pipers",9k
piracy,"piracy, piracies",9k
placate,"placate, placated, placates, placating, placation, placatory",9k
plaid,"plaid, plaids",9k
playoff,"playoff, playoffs",9k
plethora,"plethora, plethoras",9k
plod,"plod, plodded, plodder, plodders, plodding, plods",9k
polio,"polio, poliomyelitis",9k
polity,"polity, polities",9k
pollster,"pollster, pollsters",9k
poly,poly,9k
polyp,"polyp, polyps",9k
poplar,"poplar, poplars",9k
populace,populace,9k
por,por,9k
porridge,"porridge, porridges",9k
posse,"posse, posses",9k
posthumous,"posthumous, posthumously",9k
postoperative,postoperative,9k
pragmatism,pragmatism,9k
prawn,"prawn, prawns",9k
precept,"precept, precepts",9k
preponderance,"preponderance, preponderant, preponderantly",9k
preposterous,"preposterous, preposterously",9k
pretext,"pretext, pretexts",9k
prim,"prim, primly, primmer, primmest, primness",9k
primordial,"primordial, primordially",9k
prism,"prism, prisms",9k
prodigious,"prodigious, prodigiously",9k
prodigy,"prodigy, prodigies",9k
profane,"profane, profanely, profaneness, profanities, profanity",9k
proffer,"proffer, proffered, proffering, proffers",9k
proletariat,"proletariat, proletariats",9k
prologue,"prologue, prolog, prologs, prologues",9k
prom,"prom, proms",9k
propulsion,"propulsion, propulsive",9k
prospecting,"prospecting, prospected, prospector, prospectors",9k
prospectus,"prospectus, prospectuses",9k
provenance,"provenance, provenances",9k
proviso,"proviso, provisoes, provisos",9k
psychosis,"psychosis, psychoses",9k
psychosocial,psychosocial,9k
puberty,"puberty, puberties",9k
pulsar,"pulsar, pulsars",9k
pulsate,"pulsate, pulsated, pulsates, pulsating, pulsation, pulsations",9k
punter,"punter, punters",9k
pursed,"pursed, pursing",9k
pursuant,"pursuant, pursuance",9k
purvey,"purvey, purveyed, purveying, purveyor, purveyors, purveys",9k
putative,putative,9k
quack,"quack, quacked, quacking, quacks",9k
quad,"quad, quads",9k
qualm,"qualm, qualmish, qualms",9k
quarantine,"quarantine, quarantined, quarantines, quarantining",9k
quartz,"quartz, quartzes",9k
quash,"quash, quashed, quashes, quashing",9k
quay,"quay, quays",9k
qui,qui,9k
quintessential,"quintessential, quintessentially",9k
raffle,"raffle, raffled, raffles, raffling",9k
rampage,"rampage, rampaged, rampages, rampaging",9k
rapture,"rapture, enrapture, enraptured, enraptures, enrapturing, raptures",9k
raucous,"raucous, raucously, raucousness",9k
ravine,"ravine, ravines",9k
rebuff,"rebuff, rebuffed, rebuffing, rebuffs",9k
rebut,"rebut, rebuts, rebuttal, rebuttals, rebutted, rebutting",9k
reciprocate,"reciprocate, reciprocated, reciprocates, reciprocating, reciprocation",9k
reciprocity,"reciprocity, reciprocities",9k
recluse,"recluse, recluses, reclusive, reclusiveness",9k
recoup,"recoup, recouped, recouping, recoups",9k
rectal,rectal,9k
recuperate,"recuperate, recuperated, recuperates, recuperating, recuperation, recuperations",9k
reek,"reek, reeked, reeking, reeks",9k
reflector,"reflector, reflectors",9k
reflux,reflux,9k
refuel,"refuel, refueled, refueling, refuelled, refuelling, refuels",9k
reggae,"reggae, reggaes",9k
reindeer,"reindeer, reindeers",9k
reissue,"reissue, reissued, reissues, reissuing",9k
rejuvenate,"rejuvenate, rejuvenated, rejuvenates, rejuvenating, rejuvenation, rejuvenative",9k
remand,"remand, remanded, remanding, remands",9k
remunerate,"remunerate, remunerated, remunerates, remunerating, remuneration, remunerations, remunerative",9k
rendition,"rendition, renditions",9k
renegade,"renegade, renegades",9k
reparation,"reparation, reparations",9k
repertory,"repertory, repertories",9k
repose,"repose, reposed, reposeful, reposes, reposing",9k
reprieve,"reprieve, reprieval, reprievals, reprieved, reprieves, reprieving",9k
reprisal,"reprisal, reprisals",9k
repulse,"repulse, repulsed, repulses, repulsing, repulsion",9k
rescind,"rescind, rescinded, rescinding, rescinds",9k
resection,"resection, resect, resected, resecting, resectioned, resectioning, resections",9k
reshuffle,"reshuffle, reshuffled, reshuffles, reshuffling",9k
resonant,"resonant, resonantly",9k
restitution,"restitution, restitutions",9k
resuscitate,"resuscitate, resuscitated, resuscitates, resuscitating, resuscitation, resuscitations",9k
retrace,"retrace, retraced, retraces, retracing",9k
reverie,"reverie, reveries",9k
revs,"revs, revved, revving",9k
revulsion,"revulsion, revulsions",9k
rife,rife,9k
riff,"riff, riffs",9k
roach,"roach, roaches",9k
romanticism,romanticism,9k
rowdy,"rowdy, rowdie, rowdier, rowdies, rowdiest, rowdily, rowdiness, rowdyism",9k
ruby,"ruby, rubies",9k
ruddy,"ruddy, ruddier, ruddiest, ruddiness",9k
rue,"rue, rued, rues, ruing",9k
rump,"rump, rumps",9k
rye,"rye, ryes",9k
sac,"sac, sacs",9k
samaritan,"samaritan, samaritans",9k
sanctity,"sanctity, sanctities",9k
sapphire,"sapphire, sapphires",9k
sardine,"sardine, sardines",9k
sardonic,"sardonic, sardonically",9k
sash,"sash, sashes",9k
sauna,"sauna, saunas",9k
saunter,"saunter, sauntered, sauntering, saunters",9k
scald,"scald, scalded, scalding, scaldings, scalds",9k
scam,"scam, scams",9k
scamper,"scamper, scampered, scampering, scampers",9k
scathing,"scathing, scathingly",9k
scholastic,"scholastic, scholastically, scholasticism",9k
sciencefiction,"sciencefiction, sf",9k
sclerosis,sclerosis,9k
scorpion,"scorpion, scorpions",9k
scourge,"scourge, scourged, scourges, scourging",9k
scrabble,"scrabble, scrabbled, scrabbler, scrabblers, scrabbles, scrabbling",9k
scrawl,"scrawl, scrawled, scrawling, scrawls",9k
scuffle,"scuffle, scuffled, scuffles, scuffling",9k
seconded,"seconded, seconding, secondment, secondments",9k
secondhand,secondhand,9k
sedentary,sedentary,9k
semblance,"semblance, semblances",9k
sensuous,"sensuous, sensuously, sensuousness",9k
sentry,"sentry, sentries",9k
sequester,"sequester, sequestered, sequestering, sequesters, sequestrate, sequestrated, sequestrating, sequestration, sequestrations",9k
serf,"serf, serfdom, serfdoms, serfs",9k
sesame,sesame,9k
settee,"settee, settees",9k
shackle,"shackle, shackled, shackles, shackling, unshackle, unshackled, unshackles, unshackling",9k
shaggy,"shaggy, shaggier, shaggiest, shagginess",9k
shank,"shank, shanks",9k
shard,"shard, shards",9k
sheath,"sheath, sheaths",9k
sheen,"sheen, sheenier, sheeniest, sheens, sheeny",9k
sheepish,"sheepish, sheepishly, sheepishness",9k
shiite,"shiite, shiites",9k
shoplift,"shoplift, shoplifted, shoplifter, shoplifters, shoplifting, shopliftings, shoplifts",9k
shrapnel,shrapnel,9k
sickle,"sickle, sickles",9k
sieve,"sieve, sieved, sieves, sieving",9k
signatory,"signatory, signatories",9k
sire,"sire, sired, sires, siring",9k
sitcom,"sitcom, sitcoms",9k
sizeable,"sizeable, sizably",9k
skewer,"skewer, skewered, skewering, skewers",9k
skimp,"skimp, skimped, skimpier, skimpiest, skimpily, skimpiness, skimping, skimps, skimpy",9k
skinhead,"skinhead, skinheads",9k
slacks,slacks,9k
slalom,"slalom, slaloms",9k
slander,"slander, slandered, slandering, slanderous, slanders",9k
slat,"slat, slats, slatted",9k
slew,"slew, slewed, slewing, slews",9k
slink,"slink, slinked, slinkiest, slinking, slinks, slinky, slunk",9k
slog,"slog, slogged, slogger, sloggers, slogging, slogs",9k
slouch,"slouch, slouched, sloucher, slouchers, slouches, slouching",9k
slumber,"slumber, slumbered, slumbering, slumberous, slumbers",9k
smallpox,"smallpox, smallpoxes",9k
smelted,"smelted, smelter, smelters, smelting, smeltings, smelts",9k
smog,"smog, smogs",9k
snub,"snub, snubbed, snubbing, snubs",9k
snuggle,"snuggle, snuggled, snuggles, snuggling",9k
sociable,"sociable, sociabilities, sociability, sociably, unsociable",9k
soggy,"soggy, soggier, soggiest, soggily, sogginess",9k
solace,"solace, solaces",9k
solder,"solder, soldered, solderer, solderers, soldering, solders",9k
sonar,"sonar, sonars",9k
sonic,sonic,9k
sordid,"sordid, sordidly, sordidness",9k
sortie,"sortie, sorties",9k
spank,"spank, spanked, spanking, spanks",9k
sparrow,"sparrow, sparrows",9k
spatter,"spatter, spattered, spattering, spatters",9k
speckle,"speckle, speckled, speckles, speckling",9k
speedway,"speedway, speedways",9k
spew,"spew, spewed, spewing, spews",9k
splatter,"splatter, splattered, splattering, splatters",9k
splice,"splice, spliced, splicer, splicers, splices, splicing",9k
spontaneity,spontaneity,9k
sprain,"sprain, sprained, spraining, sprains",9k
spurious,"spurious, spuriously, spuriousness",9k
spurn,"spurn, spurned, spurning, spurns",9k
squawk,"squawk, squawked, squawker, squawkers, squawking, squawks",9k
stag,"stag, stags",9k
stairwell,"stairwell, stairwells",9k
stalemate,"stalemate, stalemates",9k
stalwart,"stalwart, stalwartly, stalwarts",9k
